Адрес;Цена;Объект;Площадь
ул.Громова,д. 11, к1;2 300 000;1-комн. квартира;29.8 м2
ул.Артюхиной,д. 1б;2 599 000;1-комн. квартира;38.7 м2
ул.Сергея Есенина,д. ЖК Есенинские Поля;2 890 000;1-комн. квартира;28.52 м2
ул.Склизкова,д. 86;3 000 000;1-комн. квартира;33.4 м2
ул.Фадеева,д. 10, к2;2 950 000;1-комн. квартира;38.3 м2
ул.Гусева б-р,д. 57;3 700 000;1-комн. квартира;38.7 м2
ул.Екатерины Фарафоновой,д. 36Б;2 870 000;1-комн. квартира;23.6 м2
ул.Хромова,д. 7, к2;3 650 000;1-комн. квартира;38.8 м2
ул.Михаила Румянцева,д. 42;5 480 000;1-комн. квартира;60 м2
ул.Николая Корыткова пр-т,д. 10а;680 000;1-комн. квартира;12 м2
ул.Молодежная,д. 5;370 000;1-комн. квартира;22 м2
ул.Чехова,д. 17;1 250 000;1-комн. квартира;35.1 м2
ул.Осташковская,д. 35;1 300 000;1-комн. квартира;30.1 м2
ул.Октябрьский пр-т,д. 99;3 600 000;1-комн. квартира;35 м2
ул.Склизкова,д. 116, к2;4 570 000;1-комн. квартира;43.5 м2
ул.Курчатова пр-т,д. 3;2 090 000;1-комн. квартира;34.8 м2
ул.Аввакумово д.,д. 6;1 990 000;1-комн. квартира;30 м2
ул.Новочеркасская,д. 51;3 500 000;1-комн. квартира;37 м2
ул.Мичурина,д. 44, к2;3 180 000;1-комн. квартира;35.6 м2
ул.Псковская,д. ЖК времена года 2;3 850 000;1-комн. квартира;37.75 м2
ул.Зелёный пр-д,д. 45, к10;3 450 000;1-комн. квартира;39 м2
ул.Гусева б-р,д. 31, к1;3 550 000;1-комн. квартира;44.1 м2
ул.Кирова,д. 27;1 599 000;1-комн. квартира;38.3 м2
ул.Бурашевское ш.,д. 68;3 900 000;1-комн. квартира;37 м2
ул.Садовая,д. 22;699 000;1-комн. квартира;32 м2
ул.Новая,д. 2;3 900 000;1-комн. квартира;47.2 м2
ул.Псковская,д. ЖК времена года 2;3 500 000;1-комн. квартира;38.63 м2
ул.Путейский 1-й пер.,д. 24;1 600 000;1-комн. квартира;33.3 м2
ул.Фрунзе,д. 2, к1;3 970 000;1-комн. квартира;41.5 м2
ул.Рябеевское ш.;4 950 000;1-комн. квартира;37.5 м2
ул.Псковская,д. ЖК времена года 2;3 780 000;1-комн. квартира;43.08 м2
ул.Новочеркасская,д. 51;3 300 000;1-комн. квартира;35.1 м2
ул.Рабочая Слобода 1-я,д. 36, к1;3 690 000;1-комн. квартира;43 м2
ул.Дачная,д. 8а;1 490 000;1-комн. квартира;31.3 м2
ул.Сергея Лоскутова;3 850 000;1-комн. квартира;33.8 м2
ул.Фрунзе,д. 22, к1;3 750 000;1-комн. квартира;35.2 м2
ул.Евгения Пичугина,д. 21, к3;3 300 000;1-комн. квартира;36.3 м2
ул.Сергея Лемешева,д. 10;4 500 000;1-комн. квартира;38.1 м2
ул.Калинина,д. 11;1 630 000;1-комн. квартира;35.7 м2
ул.Советская,д. 5;900 000;1-комн. квартира;26.1 м2
ул.Ткача,д. 14;3 980 000;1-комн. квартира;36.51 м2
ул.Оснабрюкская,д. 4, к1;4 200 000;1-комн. квартира;43.2 м2
ул.Учительская,д. 6, к1;5 650 000;1-комн. квартира;52.9 м2
ул.Псковская,д. ЖК времена года 2;3 650 000;1-комн. квартира;38.63 м2
ул.Зелёный пр-д,д. 45, к4;3 350 000;1-комн. квартира;37 м2
ул.Лемешева,д. 10;4 350 000;1-комн. квартира;39.4 м2
ул.Гусева б-р,д. 56;3 850 000;1-комн. квартира;35 м2
ул.Спортивный пер.,д. 10;3 000 000;1-комн. квартира;30 м2
ул.Цанова б-р,д. 3;2 600 000;1-комн. квартира;30.6 м2
ул.Псковская,д. ЖК времена года 2;3 800 000;1-комн. квартира;42.9 м2
ул.Складская,д. Дом у Ручья, к2;3 950 000;1-комн. квартира;42.94 м2
ул.Склизкова,д. 101;2 600 000;1-комн. квартира;32.6 м2
ул.Луначарского,д. 3, к1;3 000 000;1-комн. квартира;36 м2
ул.Можайского,д. 62;3 800 000;1-комн. квартира;38 м2
ул.Центральная,д. 12;2 050 000;1-комн. квартира;33.4 м2
ул.Луначарского,д. 17, к19;1 360 000;1-комн. квартира;40.8 м2
